bikepoint_id,name,lat,lon,bikes_available,empty_docks,docks_total,install_date,locked,temporary,timestamp,data_source
BikePoints_164,"Cleveland Gardens, Bayswater",51.515607,-0.183118,5,9,16,1279287600000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_165,"Orsett Terrace, Bayswater",51.517932,-0.183716,12,2,15,1279287960000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_166,"Seville Street, Knightsbridge",51.501855,-0.159237,3,22,27,1279288140000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_167,"Eccleston Place, Victoria",51.49395,-0.147624,10,6,19,,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_168,"Argyll Road, Kensington",51.500401,-0.195455,12,6,19,1279289400000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_170,"Hardwick Street, Clerkenwell",51.527842,-0.108068,3,26,30,1279290180000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_171,"Collingham Gardens, Earl's Court",51.491615,-0.186753,1,13,14,1279291200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_172,"Sumner Place, South Kensington",51.491211,-0.173715,2,15,19,1279291500000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_173,"Waterloo Road, South Bank",51.50486,-0.113001,14,1,15,1279292700000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_175,"Worship Street, Shoreditch",51.521668,-0.079608,3,45,51,1529674980000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_176,"Gloucester Terrace, Bayswater",51.517919,-0.188098,21,1,23,1279297560000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_177,"Ashley Place, Victoria",51.49616,-0.140947,7,16,25,1279297740000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_178,"Warwick Square, Pimlico",51.489856,-0.141923,11,6,19,1279297920000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_180,"North Audley Street, Mayfair",51.512911,-0.153645,4,8,17,1279298220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_181,"Belgrave Square, Belgravia",51.499412,-0.152317,5,14,21,1279298460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_182,"Bell Street , Marylebone",51.522029,-0.165842,5,10,18,1279363140000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_183,"Riverlight North, Nine Elms",51.482362,-0.136123,14,5,24,1279364160000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_184,"Portland Place, Marylebone",51.520715,-0.145211,3,28,34,1279364280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_185,"Alderney Street, Pimlico",51.488057,-0.140741,9,1,14,1279365360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_186,"South Wharf Road, Paddington",51.517335,-0.17581,2,13,16,1279365480000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_187,"Queen's Gate (South), South Kensington",51.492479,-0.178433,13,11,25,1279365720000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_188,"Nutford Place, Marylebone",51.516517,-0.164393,1,17,18,1279376760000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_189,"Claremont Square, Angel",51.531666,-0.109914,5,9,18,1279377180000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_190,"Rampayne Street, Pimlico",51.489975,-0.132845,5,14,21,1279381080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_191,"Hyde Park Corner, Hyde Park",51.503117,-0.15352,3,28,36,1279383120000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_192,"Wardour Street, Soho",51.512515,-0.133201,0,15,16,1279383300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_193,"Bankside Mix, Bankside",51.505817,-0.100186,5,54,60,1279392479356,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_194,"Hop Exchange, The Borough",51.504627,-0.091773,28,22,56,1279392479395,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_195,"Milroy Walk, South Bank",51.507244,-0.106237,13,16,30,1279392479432,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_196,"Union Street, The Borough",51.503688,-0.098497,2,12,17,1279392479471,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_197,"Stamford Street, South Bank",51.505569,-0.111606,17,9,27,1279392479520,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_199,"Great Tower Street, Monument",51.510484,-0.082989,0,19,24,1279441800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
